ai	whom, who, anyone
kiên nhẫn	patient
kiến trúc sư	architect
kế toán	accountant, accounting
kỹ sư	engineer
la bàn	compass
linh hoạt	flexible
luyện	practices, practice
luyện tập	practice
luật sư	lawyer
ly	cup, cups, glass
là	is, am, being
làm	to be, has worked as, do on
làm sao	how
làm việc	work, working, works
làm ơn	please
lúc này	now, this moment, right now
lăm	five (for 15 or higher), five
lười biếng	lazy
lượng mưa	precipitation, rainfall
lạc quan	optimistic
lấy	takes, take, get
lần	time, times, turns
lắng nghe	listen, listens, listening
lặp lại	repeat, repeats
lẻ	(used at hundred level)
lịch	calendar
lịch sự	polite
lớn	large, big, great
lợi thế	advantage, advantages
mang	is, wears, carrying
may mắn	lucky, luck
mua	buy
mua sắm	shop, shopping
muối	salt, salty
muốn	want
muỗng	spoon
mà còn	not only... but also, but also
màu	color
máy bay	airplane, plane
máy tính	computer
mây	cloud
mèo	cat
mì	noodles
mì ý	pasta
mì ăn liền	instant noodles
mình	I'm, I, herself
món	dish, kind, (indicates item of food)
mùa	season, crop
múa	dance, dances, dance/dances (verb)
mũ	hat
mươi	thirty
mười	ten
mẫu giáo	kindergarten
mặc	wear, wears
mẹ	mom
mọi người	everybody, everyone, people
mốt	one (for 21 or higher), vogue, one
mỗi	each, per, every
một	an, a, first
mới	new
mở	open, opens, turn on
nam	south, male, Nam
nam cực	antarctic
nay	this, now
nga	Russia
nghe	listen, hear/hears, listens
nghiêm túc	serious
nghèo	poor
nghìn	thousand, thousands, 1000
nghĩ	think, thinks
nghề nghiệp	profession, occupation
nghệ sĩ	artist
ngon	delicious, deliciously
ngoài	out, besides, aside
nguy hiểm	dangerous
ngày	day, date, st
ngày mai	tomorrow
ngày sinh	birthday, date of birth
ngân hàng	bank
ngã	fall
ngôi trường	school
ngôn ngữ	language
ngư dân	fisherman
người	people, (classifier for human), the
người mẫu	model, models
ngắn	short
ngồi	sit, sits, sitting
ngủ	sleep, slept, sleeps
ngựa	horse
nha sĩ	dentist, dentists
nhanh	fast, (can be adjective or adverb)
nhanh lên	hurry up
nhiêu	much
nhiều	lots, many, various
nhà báo	journalist
nhà ga	train station
nhà hàng	restaurant
nhà khoa học	scientist, scientists
nhà lãnh đạo	leader, leaders
nhà sư	monk
nhà thiết kế	designer
nhà toán học	mathematician
nhà vệ sinh	bathroom
nhìn	look
như	like, as
nhưng	but, however
nhạc sĩ	songwriter, songwriters
nhạt	light
nhảy	jump, dance, jumps
nhất	first, most, the most
nhận ra	realize
nhật	Japan
Nhật	Japan
nhỏ	small, little
những	these, my, the
nào	let's, any, what kind of
này	this, these, hey
nâu	brown
nên	ought, then, so
nó	he, it's, it
nói	spoken, speaks, to say
nóng	hot
nông dân	farmer
năm	years, 5, year
nước	water, country, countries
nước ép	juice
nấm	mushroom
nấu	to cook, cook, cooking
nấu ăn	cook, cooks, cooking
nặng	heavy
nếu	if
nổi	famous
nổi tiếng	famous, popular
nửa	half
ong	bee
phi	Phi (proper name)
phà	ferry
Pháp	French, France
phát hiện	discover
phát minh	invent, invention, invents
phân biệt	distinguish
phía sau	behind
phía trước	in front of, up ahead
phòng	room
phút	minute, minutes
phường	ward
phải không	is there ... ?, do ... ?, were ... ?
phở	pho, phở
phụ nữ	woman, women, female
phức tạp	complicated
pin	battery
quan trọng	is important, important, was important
quan tâm	care, considered, cares
quyển	the, (classifier)
quá	too, so, very
quả	(classifier), fruit
quần	pants, trousers
quốc gia	country, national (adj), nation
quốc tịch	nationality, citizenship
rau	vegetable, vegetables
rùa	turtle, tortoise
rượu	alcohol, wine
rất	extremely, very much, so
rắn	snake
rẻ	cheap
rồng	dragon
sai	wrong
sao	what, what do, why
sau	behind, next, then
sau khi	after
sinh viên	student, the students, students
siêng năng	hard-working, diligent
so sánh	compare
sách	book
sáng	morning, bright, light
sáu	six, sixth
sân bay	airport, airports
súp	soup
sản xuất	produce, producing, produces
sấm sét	thunder
sẽ	are going to, are going to be, will be
số	number
sống	alive, live, living
sở thú	zoo
sợi dây	string
sữa	milk
sự	(classifier)
sự bắt đầu	beginning
sự kiên nhẫn	patience
sự lịch sự	politeness
sự nghiêm túc	seriousness
sự nghiệp	career
sự phức tạp	complexity
sự thay đổi	change
sự thành công	success
sự thân thiện	friendliness
sự thật	truth
sự đơn giản	simplicity
sự đồng ý	agreement
sự ủng hộ	support
tai nạn	accident
tham lam	greedy
thay đổi	change, changes
thiên niên kỷ	millennium, millenniums
thoả mãn	satisfied, satisfy
thu	autumn, fall
thung lũng	valley
thuyền trưởng	captain
thuốc lá	tobacco
thuỵ sĩ	Switzerland
thành công	successful, succeed, success
tháng	months, month, months'
tháng một	january
tháng tư	april
thân thiện	friendly
thì	is, am, then
thích	like, likes
thông minh	smart, intelligent
thư	letter
thư ký	secretary
thảo luận	discuss, discusses, discussing
thất bại	fail, failure
thấy	see, find (limited context), sees
thập niên	decade
thật	real, so, really
thật không	really
thắng	win, defeat, wins
thắt lưng	belt
thế hệ	generation
thế kỷ	century
thế nào	how, how were, how was
thịt	meat
thỏ	rabbit, rabbits, bunny
thời gian	time
thủ đô	capital
thứ	things, th, thing
thứ tư	wednesday, fourth
thức ăn	food
thử	try, tries, try (sth) on
thử thách	challenge, challenges
thực đơn	menu
tin	believe, trust
tivi	television, televisions, tv
tiếng	hour, hours, classifier for languages
tiện lợi	convenient
trai	boy
triệu	million, millions
trong	inside, for, at
trong khi	while
Trung Quốc	China
trung thực	honest
truyền thống	traditional, tradition
trà	tea
trái	(classifier for fruits), the, left
trái cây	fruit
trâu	buffalo
trăm	hundred
trưa	noon
trước	ago, in front of, before
trước khi	before
trưởng thành	mature, adult
trạm	station, stations
trả lời	answer, respond, answers
trắng	white
trở lại	return, returns
trở thành	become, get, becoming
trở về	return, get back
trứng	egg
trừng phạt	punish
tuy	although, however, despite
tuần	week, weeks
tuổi	age
tàu hoả	train
tách	cup
tám	eight
táo	apple
tây	west, western
Tây Ban Nha	Spain, Spanish
tên	name, first name, title
tìm	looking for, find, look for
tìm hiểu	learn about, get to know, learn
tìm ra	find, finds, find out
tích cực	positive
tím	purple, violet
tính cách	characteristic, character, personality
tôi	I
tôn trọng	respect, respects
túi	bag
tư	private, four (for 24 or higher), four
tương lai	future
tại	at, in
tạm biệt	goodbye, bye
tạp chí	magazine
tất	socks
tập	practice
tập trung	concentrate, focus
tắm	takes a shower, bath, bathing
tắt	off, turn off, close
tặng	gifts, gift, gift (verb)
tệ	bad
tối	dark, evening, night
tối nay	tonight
tốt	well, fine, great
tồn tại	exist, exists, existing
tổng cộng	totally, in total
tờ	sheet
tờ giấy	paper
từ	word, since, from
từ điển	dictionary, dictionaries
tử tế	kind, gracious
tỷ	billion
uống	drink, has, drinks
viết	write, writes
việc	work, business, job
việt	Vietnamese
việt nam	Vietnam, Vietnamese
voi	elephant
vui lòng cho	please
và	and
vàng	yellow, gold
vào	to go into, for, into
váy	skirt
vâng	yes, (politely)
vé	ticket
vì	because, for, because of
ví	wallet, purse
văn hoá	culture
vĩnh viễn	forever
vẫn	yet, still
vẻ đẹp	beauty
vẽ	draw, draws, drawing
về	for, toward, about
vịt	duck
với	with, plus, at
vở	notebook
vợ	wife, spouse
vừa mới	just
xa xỉ	luxurious
xanh da trời	blue
xanh lá cây	green
xe buýt	bus
xe taxi	taxi, taxis, (a) taxi
xe ô tô	car
xe đạp	bike, bicycle
xem	watching, look at, watched
xin	beg, ask for, please
xin chào	hello, hi
xin lỗi	apologize, sorry, excuse me
xuân	spring
xuất bản	publish, publishing
xám	gray, grey
xấu tính	mean
xứng đáng	deserve
y tá	nurse
yêu	love, loves, loving
á	Asian
áo	shirt
áo lạnh	sweater
âu	Europe
ích kỷ	selfish
ít	little, few, some
ô	umbrella
ôm	hug
ông	grandfather
úc	Australia, australian
ăn	eats, ate, eating
đam mê	passion
đang	is, am, (action is taking place)
đen	black
đi	travel, wear (refers to shoes), to go
đi du lịch	travelling, traveling, travel
đi nào	let's go
điện thoại	phone, telephone
đom đóm	firefly
đu quay	ferris wheel
đu đủ	papaya
đàn ông	men, man
đá	ice
đánh giá cao	appreciate
đáp án	answer
đâu	where, where is ... ?, which
đây	this, is here, these
đèn	light, lamp
đó	that, those, there
đói	hungry
đô	dollar
đôi	two, pair of, pairs
đông	winter, East, crowded
đúng	right
đĩa	dish, plate
đơn giản	simple
đưa	handing, handed, take
đường	sugar
đại dương	ocean
đảo	island
đầm	dress
đầu bếp	cook
đầu tiên	first
đậm	dark, deep
đắt	expensive
đắt tiền	expensive
đặc biệt	special, especially
đặt chỗ	make a reservation, reservation
đẹp	beautiful, pretty
đến	is, arrives, go
đến từ	are from, comes from, come from
đều	both of, all, both
để	for, let, lets
địa hình	terrain
đọc	read, reads
đỏ	red
đối mặt	face
đồng	VND, dong, bronze
đồng bằng	plain
đồng hồ	watch, clock
đồng ý	agree, agrees
độc lập	independent, independence
đội	wears, the team, team
động vật	animals, animal
đỡ	help
đợi	wait
đủ	enough
đứa con	child, children, baby
đứa trẻ	kid, child
Đức	Germany
đứng	stand, stands, stand/stands
đừng	do not, don't, not
ư	(untranslated)
ấn độ	India
ổn	fine
ớt	chili, peppers, chilli
ở	stayed, stayed in, has stayed in
ở đâu	where, where does ... ?, where is ... ?
ủng	boots
ủng hộ	supports, support
